"","Width","Length","Southwest","fit"
"346",15.2,11.5,0,0.00579336563346578
"347",15.5,11.5,0,0.00632939420255865
"348",15.8,11.5,0,0.00691661805817334
"349",16.1,11.5,0,0.00755990404912082
"350",16.4,11.5,0,0.0082645519184458
"351",16.7,11.5,0,0.00903632566481409
"352",17,11.5,0,0.00988148557109701
"353",17.3,11.5,0,0.0108068203570786
"354",17.6,11.5,0,0.0118196787909503
"355",17.9,11.5,0,0.0129279990700651
"356",18.2,11.5,0,0.0141403385109454
"357",18.5,11.5,0,0.015465899326259
"358",18.8,11.5,0,0.0169145502904679
"359",19.1,11.5,0,0.0184968422594875
"360",19.4,11.5,0,0.0202240189674278
"361",19.7,11.5,0,0.0221080177024479
"362",20,11.5,0,0.0241614599905188
"363",20.3,11.5,0,0.0263976275952494
"364",20.6,11.5,0,0.0288304255776851
"365",20.9,11.5,0,0.0314743355310888
"366",21.2,11.5,0,0.0343443416688028
"367",21.5,11.5,0,0.0374558419345181
"368",21.8,11.5,0,0.0408245339502716
"369",22.1,11.5,0,0.0444662803199981
"370",22.4,11.5,0,0.0483969602592554
"371",22.7,11.5,0,0.0526323085345152
"372",23,11.5,0,0.057187737885388
"373",23.3,11.5,0,0.0620781363058136
"374",23.6,11.5,0,0.0673176596407622
"375",23.9,11.5,0,0.0729195224325303
"376",24.2,11.5,0,0.0788957918865408
"377",24.5,11.5,0,0.0852571758444082
"378",24.8,11.5,0,0.0920128259805627
"379",25.1,11.5,0,0.0991701473614926
"380",25.4,11.5,0,0.106734641766124
"381",25.7,11.5,0,0.114709767814006
"382",26,11.5,0,0.123096822324991
"383",26.3,11.5,0,0.131894862279879
"384",26.6,11.5,0,0.14110066664783
"385",26.9,11.5,0,0.150708720585016
"386",27.2,11.5,0,0.160711227286028
"387",27.5,11.5,0,0.171098156013739
"388",27.8,11.5,0,0.181857321815126
"389",28.1,11.5,0,0.192974492827448
"390",28.4,11.5,0,0.204433514365653
"391",28.7,11.5,0,0.216216456389304
"392",29,11.5,0,0.228303776584534
"393",29.3,11.5,0,0.240674501081885
"394",29.6,11.5,0,0.253306407890033
"395",29.9,11.5,0,0.266176218138045
"396",30.2,11.5,0,0.279259793479188
"397",30.5,11.5,0,0.29253234148139
"398",30.8,11.5,0,0.305968629654007
"399",31.1,11.5,0,0.319543190845042
"400",31.4,11.5,0,0.33323051458779
"401",31.7,11.5,0,0.347005229234104
"402",32,11.5,0,0.36084227324796
"403",32.3,11.5,0,0.374717044504911
"404",32.6,11.5,0,0.388605512551712
"405",32.9,11.5,0,0.40248434131455
"406",33.2,11.5,0,0.416331027085851
"407",33.5,11.5,0,0.430124023608175
"408",33.8,11.5,0,0.443842822466478
"409",34.1,11.5,0,0.457467967986385
"410",34.4,11.5,0,0.470981130695572
"411",34.7,11.5,0,0.484365184017447
"412",35,11.5,0,0.497604230873447
"413",35.3,11.5,0,0.510683616799577
"414",35.6,11.5,0,0.523589931357464
"415",35.9,11.5,0,0.536310999052062
"416",36.2,11.5,0,0.548835860981276
"417",36.5,11.5,0,0.561154748417709
"418",36.8,11.5,0,0.573259049470463
"419",37.1,11.5,0,0.585141269906535
"420",37.4,11.5,0,0.596794976587294
"421",37.7,11.5,0,0.608214616549821
"422",38,11.5,0,0.6193955192803
"423",38.3,11.5,0,0.630333937490258
"424",38.6,11.5,0,0.641026995107458
"425",38.9,11.5,0,0.651472632715488
"426",39.2,11.5,0,0.661669552620326
"427",39.5,11.5,0,0.671617164094236
"428",39.8,11.5,0,0.681315529288203
"429",8,12,0,0.000800113517401169
"430",8.3,12,0,0.000866088829980667
"431",8.6,12,0,0.000937904391270803
"432",8.9,12,0,0.00101610903841011
"433",9.2,12,0,0.0011013058694857
"434",9.5,12,0,0.00119415756356719
"435",9.8,12,0,0.00129539214238195
"436",10.1,12,0,0.00140580941417927
"437",10.4,12,0,0.00152628802535626
"438",10.7,12,0,0.00165779322418319
"439",11,12,0,0.00180138533741214
"440",11.3,12,0,0.00195822908416531
"441",11.6,12,0,0.00212960372404872
"442",11.9,12,0,0.00231691413795485
"443",12.2,12,0,0.00252170290739851
"444",12.5,12,0,0.00274566350066736
"445",12.8,12,0,0.00299065449232204
"446",13.1,12,0,0.00325871503869332
"447",13.4,12,0,0.00355208167785399
"448",13.7,12,0,0.00387320649856584
"449",14,12,0,0.00422477674689875
"450",14.3,12,0,0.00460973585806432
"451",14.6,12,0,0.00503130590371005
"452",14.9,12,0,0.00549301184476223
"453",15.2,12,0,0.00599870696943864
"454",15.5,12,0,0.00655260000418232
"455",15.8,12,0,0.00715928380171734
"456",16.1,12,0,0.00782376455122658
"457",16.4,12,0,0.00855149214912134
"458",16.7,12,0,0.00934839210565655
"459",17,12,0,0.0102208980798018
"460",17.3,12,0,0.0111759844748135
"461",17.6,12,0,0.0122211984002337
"462",17.9,12,0,0.0133646892480909
"463",18.2,12,0,0.0146152384975826
"464",18.5,12,0,0.0159822853769429
"465",18.8,12,0,0.017475948167644
"466",19.1,12,0,0.0191070390392631
"467",19.4,12,0,0.0208870738697698
"468",19.7,12,0,0.0228282714687802
"469",20,12,0,0.0249435423272027
"470",20.3,12,0,0.0272464620504598
"471",20.6,12,0,0.0297512312757556
"472",20.9,12,0,0.0324726252894728
"473",21.2,12,0,0.0354259155251389
"474",21.5,12,0,0.0386267755295383
"475",21.8,12,0,0.0420911609749793
"476",22.1,12,0,0.0458351684624666
"477",22.4,12,0,0.0498748803914782
"478",22.7,12,0,0.0542261970169153
"479",23,12,0,0.0589046518810245
"480",23.3,12,0,0.0639252018985342
"481",23.6,12,0,0.069302013264039
"482",23.9,12,0,0.0750482463059564
"483",24.2,12,0,0.0811758443816111
"484",24.5,12,0,0.0876953175382721
"485",24.8,12,0,0.0946155427755953
"486",25.1,12,0,0.101943571832763
"487",25.4,12,0,0.109684474584246
"488",25.7,12,0,0.117841200596922
"489",26,12,0,0.12641446332428
"490",26.3,12,0,0.135402666682835
"491",26.6,12,0,0.144801873113441
"492",26.9,12,0,0.154605795076057
"493",27.2,12,0,0.16480581525084
"494",27.5,12,0,0.175391043998635
"495",27.8,12,0,0.186348409290448
"496",28.1,12,0,0.197662774719747
"497",28.4,12,0,0.209317074363821
"498",28.7,12,0,0.221292471054152
"499",29,12,0,0.233568529955512
"500",29.3,12,0,0.246123409370631
"501",29.6,12,0,0.258934053442619
"502",29.9,12,0,0.27197639188578
"503",30.2,12,0,0.285225545021004
"504",30.5,12,0,0.298656035948876
"505",30.8,12,0,0.312242010501828
"506",31.1,12,0,0.32595744740239
"507",31.4,12,0,0.33977635314916
"508",31.7,12,0,0.353672946586343
"509",32,12,0,0.367621831530479
"510",32.3,12,0,0.381598146167885
"511",32.6,12,0,0.395577674040484
"512",32.9,12,0,0.409536964916998
"513",33.2,12,0,0.423453470462492
"514",33.5,12,0,0.43730566618003
"515",33.8,12,0,0.451073127563341
"516",34.1,12,0,0.464736539642597
"517",34.4,12,0,0.478277765734647
"518",34.7,12,0,0.491679919346834
"519",35,12,0,0.504927385397504
"520",35.3,12,0,0.518005827950541
"521",35.6,12,0,0.530902186340613
"522",35.9,12,0,0.543604660968853
"523",36.2,12,0,0.556102690044147
"524",36.5,12,0,0.568386918505974
"525",36.8,12,0,0.580449160302345
"526",37.1,12,0,0.592282355121156
"527",37.4,12,0,0.603880507952799
"528",37.7,12,0,0.615238503815035
"529",38,12,0,0.62635210753735
"530",38.3,12,0,0.637218002491008
"531",38.6,12,0,0.647833736116847
"532",38.9,12,0,0.658197663220472
"533",39.2,12,0,0.66830888921862
"534",39.5,12,0,0.678167213875229
"535",39.8,12,0,0.687773076001843
"536",8,12.5,0,0.000831899981927591
"537",8.3,12.5,0,0.000900353465992605
"538",8.6,12.5,0,0.000974855286956949
"539",8.9,12.5,0,0.00105597284545261
"540",9.2,12.5,0,0.00114432954198423
"541",9.5,12.5,0,0.00124061025538007
"542",9.8,12.5,0,0.0013455672740536
"543",10.1,12.5,0,0.00146002692912718
"544",10.4,12.5,0,0.00158489685126278
"545",10.7,12.5,0,0.00172117395859877
"546",11,12.5,0,0.00186995317559783
"547",11.3,12.5,0,0.00203243701078067
"548",11.6,12.5,0,0.00220994598894294
"549",11.9,12.5,0,0.00240393003866237
"550",12.2,12.5,0,0.00261598090189296
"551",12.5,12.5,0,0.00284784567626351
"552",12.8,12.5,0,0.00310144141213865
"553",13.1,12.5,0,0.00337887099329521
"554",13.4,12.5,0,0.00368244036993768
"555",13.7,12.5,0,0.00401467718771719
"556",14,12.5,0,0.00437835088125998
"557",14.3,12.5,0,0.00477649421642495
"558",14.6,12.5,0,0.00521242626813231
"559",14.9,12.5,0,0.00568977723414415
"560",15.2,12.5,0,0.00621251443885527
"561",15.5,12.5,0,0.00678497002806007
"562",15.8,12.5,0,0.0074118702509726
"563",16.1,12.5,0,0.00809836523368881
"564",16.4,12.5,0,0.00885005990007555
"565",16.7,12.5,0,0.00967304642220642
"566",17,12.5,0,0.0105739372553076
"567",17.3,12.5,0,0.0115598981638379
"568",17.6,12.5,0,0.0126386805139759
"569",17.9,12.5,0,0.0138186510148181
"570",18.2,12.5,0,0.0151088215992906
"571",18.5,12.5,0,0.0165188749184276
"572",18.8,12.5,0,0.0180591852167752
"573",19.1,12.5,0,0.0197408323972801
"574",19.4,12.5,0,0.0215756107633095
"575",19.7,12.5,0,0.0235760266644086
"576",20,12.5,0,0.0257552851644192
"577",20.3,12.5,0,0.028127260733998
"578",20.6,12.5,0,0.0307064538284039
"579",20.9,12.5,0,0.0335079366733915
"580",21.2,12.5,0,0.0365472699280219
"581",21.5,12.5,0,0.0398404032489519
"582",21.8,12.5,0,0.0434035490938493
"583",22.1,12.5,0,0.0472530347492289
"584",22.4,12.5,0,0.0514051401795675
"585",22.7,12.5,0,0.0558759229658351
"586",23,12.5,0,0.0606810265422641
"587",23.3,12.5,0,0.0658354629153034
"588",23.6,12.5,0,0.0713533917734953
"589",23.9,12.5,0,0.0772478993115152
"590",24.2,12.5,0,0.083530782095514
"591",24.5,12.5,0,0.0902123265272855
"592",24.8,12.5,0,0.0973011063777574
"593",25.1,12.5,0,0.104803789087891
"594",25.4,12.5,0,0.112724979618877
"595",25.7,12.5,0,0.121067083889647
"596",26,12.5,0,0.129830196322098
"597",26.3,12.5,0,0.139012031611716
"598",26.6,12.5,0,0.14860789964346
"599",26.9,12.5,0,0.158610704916378
"600",27.2,12.5,0,0.16901097572439
"601",27.5,12.5,0,0.179796931657017
"602",27.8,12.5,0,0.190954584309899
"603",28.1,12.5,0,0.202467866510734
"604",28.4,12.5,0,0.214318778387344
"605",28.7,12.5,0,0.226487556796197
